Date,Station,site_no,Mean Flow,Coeff Var,Tqmean,R-B Index
1984/7/1,Wildcat,3335000,227.8709677,29.46514284,0.387096774,0.074037373
1984/8/1,Wildcat,3335000,186.4193548,42.96063683,0.290322581,0.203322374
1984/9/1,Wildcat,3335000,120.3,16.13953969,0.366666667,0.087281796
1984/10/1,Wildcat,3335000,175.6774194,41.88413641,0.387096774,0.14047007
1984/11/1,Wildcat,3335000,462.2333333,53.94494752,0.366666667,0.236244321
1984/12/1,Wildcat,3335000,673.4193548,59.84765679,0.322580645,0.181117072
1985/1/1,Wildcat,3335000,970.7096774,132.2396491,0.258064516,0.228964509
1985/2/1,Wildcat,3335000,2722.857143,183.0991336,0.25,0.390346275
1985/3/1,Wildcat,3335000,2134.741935,64.62064959,0.483870968,0.221587561
1985/4/1,Wildcat,3335000,1208.933333,73.9720437,0.366666667,0.17480975
1985/5/1,Wildcat,3335000,287,21.43560501,0.387096774,0.071147578
1985/6/1,Wildcat,3335000,294.3333333,55.76058073,0.333333333,0.170441676
1985/7/1,Wildcat,3335000,137.5483871,50.51515012,0.258064516,0.152908068
1985/8/1,Wildcat,3335000,250.1612903,74.80840644,0.322580645,0.299161831
1985/9/1,Wildcat,3335000,124.6333333,47.11416704,0.2,0.097084782
1985/10/1,Wildcat,3335000,152.3548387,47.07925043,0.387096774,0.130213847
1985/11/1,Wildcat,3335000,2518.733333,107.3864505,0.433333333,0.288121013
1985/12/1,Wildcat,3335000,1666.83871,111.1033757,0.322580645,0.308058523
1986/1/1,Wildcat,3335000,313.6451613,59.15820839,0.322580645,0.120436079
1986/2/1,Wildcat,3335000,1098.142857,61.65081957,0.392857143,0.233641212
1986/3/1,Wildcat,3335000,1713.774194,75.74065193,0.290322581,0.28559866
1986/4/1,Wildcat,3335000,397.2,24.67735045,0.433333333,0.033987915
1986/5/1,Wildcat,3335000,1067.258065,42.86019609,0.387096774,0.224149917
1986/6/1,Wildcat,3335000,1090.866667,105.9019956,0.266666667,0.28491108
1986/7/1,Wildcat,3335000,791.1935484,91.65967833,0.290322581,0.396338729
1986/8/1,Wildcat,3335000,177.5483871,28.66665104,0.451612903,0.058866279
1986/9/1,Wildcat,3335000,155.3666667,50.69100837,0.366666667,0.17034971
1986/10/1,Wildcat,3335000,179.3225806,29.18487224,0.35483871,0.11045152
1986/11/1,Wildcat,3335000,168.3,26.17969156,0.2,0.04654387
1986/12/1,Wildcat,3335000,283.3870968,16.22599338,0.419354839,0.080022766
1987/1/1,Wildcat,3335000,305.6451613,41.77562366,0.258064516,0.11408971
1987/2/1,Wildcat,3335000,527.1428571,46.0187682,0.428571429,0.098441734
1987/3/1,Wildcat,3335000,435.4193548,62.19345952,0.322580645,0.139946659
1987/4/1,Wildcat,3335000,405.2666667,55.42992529,0.333333333,0.139167626
1987/5/1,Wildcat,3335000,482.483871,82.05224801,0.290322581,0.253660493
1987/6/1,Wildcat,3335000,354.6,67.14082172,0.266666667,0.28144388
1987/7/1,Wildcat,3335000,256.8387097,63.68920922,0.322580645,0.183622205
1987/8/1,Wildcat,3335000,206.4516129,100.3899441,0.193548387,0.305625
1987/9/1,Wildcat,3335000,134.6,20.41690447,0.4,0.108469539
1987/10/1,Wildcat,3335000,104.2903226,47.70867531,0.258064516,0.118465821
1987/11/1,Wildcat,3335000,150.9333333,82.61314368,0.2,0.136484099
1987/12/1,Wildcat,3335000,1037.741935,55.94610628,0.548387097,0.242555176
1988/1/1,Wildcat,3335000,589.0967742,37.37835178,0.387096774,0.177965174
1988/2/1,Wildcat,3335000,1806.586207,40.44333567,0.413793103,0.228665229
1988/3/1,Wildcat,3335000,794.7096774,50.90968137,0.258064516,0.156518915
1988/4/1,Wildcat,3335000,1546.7,101.7826614,0.333333333,0.235059589
1988/5/1,Wildcat,3335000,270.3548387,18.08365844,0.419354839,0.033050949
1988/6/1,Wildcat,3335000,130.2,20.88287328,0.466666667,0.025345622
1988/7/1,Wildcat,3335000,105.9032258,25.08880247,0.322580645,0.118489187
1988/8/1,Wildcat,3335000,137.9677419,43.73155739,0.290322581,0.161328034
1988/9/1,Wildcat,3335000,112.7333333,25.67314637,0.3,0.104376109
1988/10/1,Wildcat,3335000,99.77419355,36.14425571,0.483870968,0.10151956
1988/11/1,Wildcat,3335000,436.3333333,78.40810587,0.366666667,0.333384263
1988/12/1,Wildcat,3335000,239.6774194,52.93040619,0.290322581,0.105787349
1989/1/1,Wildcat,3335000,745.3870968,65.28032424,0.387096774,0.228632016
1989/2/1,Wildcat,3335000,359.9642857,27.945235,0.321428571,0.068657605
1989/3/1,Wildcat,3335000,476.2258065,25.24094897,0.387096774,0.096931518
1989/4/1,Wildcat,3335000,902.3666667,59.24437167,0.3,0.195892283
1989/5/1,Wildcat,3335000,2129.903226,167.6829398,0.193548387,0.463598225
1989/6/1,Wildcat,3335000,1500.366667,110.8159735,0.3,0.297127369
1989/7/1,Wildcat,3335000,306.483871,39.86547497,0.35483871,0.16861383
1989/8/1,Wildcat,3335000,520.1290323,174.479432,0.161290323,0.359836269
1989/9/1,Wildcat,3335000,2546.2,114.5072037,0.266666667,0.323946797
1989/10/1,Wildcat,3335000,339.3548387,32.84816417,0.35483871,0.079847909
1989/11/1,Wildcat,3335000,521.0333333,63.86895224,0.266666667,0.165120594
1989/12/1,Wildcat,3335000,275.6774194,32.16533897,0.483870968,0.071495436
1990/1/1,Wildcat,3335000,689.2903226,33.8769215,0.322580645,0.149616249
1990/2/1,Wildcat,3335000,2715.892857,56.20141041,0.392857143,0.29936222
1990/3/1,Wildcat,3335000,1846,127.0553278,0.193548387,0.353231049
1990/4/1,Wildcat,3335000,866.8333333,36.5939336,0.266666667,0.128667564
1990/5/1,Wildcat,3335000,1864.193548,112.3595821,0.258064516,0.34137394
1990/6/1,Wildcat,3335000,885.8,90.47772345,0.2,0.256265523
1990/7/1,Wildcat,3335000,583.5483871,62.24189692,0.387096774,0.213432836
1990/8/1,Wildcat,3335000,667.2580645,124.4561436,0.225806452,0.407251632
1990/9/1,Wildcat,3335000,196.3,21.97566485,0.366666667,0.055697062
1990/10/1,Wildcat,3335000,1060.612903,106.3617285,0.322580645,0.307612762
1990/11/1,Wildcat,3335000,662.7666667,87.56075449,0.266666667,0.264698486
1990/12/1,Wildcat,3335000,2474.129032,143.7678121,0.193548387,0.336723252
1991/1/1,Wildcat,3335000,1935.774194,124.8309687,0.258064516,0.283424153
1991/2/1,Wildcat,3335000,982.5,39.30533606,0.428571429,0.159614686
1991/3/1,Wildcat,3335000,2107.258065,73.1701512,0.516129032,0.193616533
1991/4/1,Wildcat,3335000,917.3333333,43.02806121,0.333333333,0.145130814
1991/5/1,Wildcat,3335000,526.7741935,18.77634715,0.548387097,0.10263319
1991/6/1,Wildcat,3335000,478.3333333,71.92637871,0.266666667,0.173867596
1991/7/1,Wildcat,3335000,162.0322581,40.86721171,0.451612903,0.097551264
1991/8/1,Wildcat,3335000,105.5483871,22.18535918,0.322580645,0.097493888
1991/9/1,Wildcat,3335000,108.7666667,32.5286972,0.333333333,0.10848912
1991/10/1,Wildcat,3335000,247.6451613,112.5110829,0.193548387,0.274716686
1991/11/1,Wildcat,3335000,316.6,89.56468081,0.366666667,0.236260265
1991/12/1,Wildcat,3335000,399.483871,31.12444593,0.322580645,0.121689276
1992/1/1,Wildcat,3335000,383.8064516,31.90703646,0.419354839,0.115565641
1992/2/1,Wildcat,3335000,689.2068966,47.37619506,0.379310345,0.135087807
1992/3/1,Wildcat,3335000,822.1290323,42.51855806,0.419354839,0.122655576
1992/4/1,Wildcat,3335000,1734.9,98.08210677,0.266666667,0.222126155
1992/5/1,Wildcat,3335000,415.0967742,22.80318578,0.35483871,0.059760647
1992/6/1,Wildcat,3335000,612.5666667,118.2607433,0.2,0.295532459
1992/7/1,Wildcat,3335000,2968.064516,121.3440919,0.258064516,0.321682426
1992/8/1,Wildcat,3335000,642.9354839,115.8735148,0.225806452,0.204104159
1992/9/1,Wildcat,3335000,716.4333333,93.1129097,0.4,0.350579258
